BLDGSUIT,BLDGID,BLDGNAME,SUITID,OCCPNAME,SUITSQFT,SUITETYPE_MRI,RANK,SQFTTYPE,UPDATED_SUITE_TYPE
NW1041175,NW1041,NW SIMMONS BUILDING LP,175,"TRYBUSAJ, LLC",3020,,1,RSF,OFF
HSV001316,HSV001,Hillside Village,316,Palmer's Hot Chicken,4956,RETL,1,GLA,RET
DMN001X6.116,DMN001,Domain Northside Retail,X6.116,Austin Art Partners LLC,2698,RETL,1,GLA,RET
FFV003N-103,FFV003,Freshfields Village Expansion,N-103,Jersey Mike's,0,RETL,1,GLA,RET
NW1510200,NW1510,Van Alen Office LLC,200,"RGN-Durham 1, LLC",23429,,1,RSF,OFF
PKLN05C350,PKLN05,Park Lane - Blk B2/C/DF Retail,C350,Lands' End,0,RETL,1,GLA,RET
NW1510100,NW1510,Van Alen Office LLC,100,"RGN-Durham 1, LLC",6093,,1,RSF,OFF
NW1510300,NW1510,Van Alen Office LLC,300,"RGN-Durham 1, LLC",24190,,1,RSF,OFF
HSV001430,HSV001,Hillside Village,430,Texas Goods,1703,RETL,1,GLA,RET
PKLN05PKGROOF,PKLN05,Park Lane - Blk B2/C/DF Retail,PKGROOF,TruFusion Outdoor Workout Space,0,,1,GLA,PRK
P3006040,P300,NWALP PHOP Property Owner LLC,6040,"Oncologie, Inc.",0,,1,GLA,OFF
NW0072270,NW0072,NW HAYES BUILDING LP,270,The Whiting-Turner Contracting Company,6320,,1,RSF,OFF
NW1001550,NW1001,NW BRIXHAM GREEN ONE LP,550,Ohio Farmers Insurance Company,6020,,1,RSF,OFF
NW1513150,NW1513,900 CP Owner LLC,150,"NortonLifeLock, Inc.",0,,1,RSF,OFF
BLK001C4-B,BLK001,Blakeney Retail,C4-B,Cold Stone Creamery,1570,,1,GLA,RET
NW1513400,NW1513,900 CP Owner LLC,400,"NortonLifeLock, Inc.",66073,,1,RSF,OFF
NW1513140,NW1513,900 CP Owner LLC,140,"NortonLifeLock, Inc.",23976,,1,RSF,OFF
DMN001Z2.140,DMN001,Domain Northside Retail,Z2.140,Soludos,700,INLN,1,GLA,RET
PKLN02ROOF,PKLN02,Park Lane - 8080 Office,ROOF,TruFusion Outdoor Workout Space,0,,1,GLA,ANT
WAVE01C206,WAVE01,Waverly Place,C206,MOD Pizza,2800,RETL,1,GLA,RET
PKLN07A110,PKLN07,Park Lane - Blk A Retail,A110,Soleplier,0,,1,GLA,RET
NRG001R-249,NRG001,NW Northgate Mall LLC,R-249,Foot Locker #7836,0,RETL,1,GLA,RET
NRG001R-680,NRG001,NW Northgate Mall LLC,R-680,Champ's Sports,0,RETL,1,GLA,RET
HSV001310,HSV001,Hillside Village,310,SPIRIT HALLOWEEN,7040,RETL,1,GLA,RET
NWCENTSears,NWCENT,NW CENTENNIAL LLC,Sears,Spirit Halloween,0,RETL,1,GLA,RET
P410300,P410,410 Totten Pond,300,"Amundson Group, Inc.",0,,1,GLA,OFF
NRG001R-710,NRG001,NW Northgate Mall LLC,R-710,HO B RC Park,0,RETL,1,GLA,RET
P2001030,P200,NWALP PHOP Property Owner LLC,1030,"Oncopeptides, Inc",0,,1,GLA,OFF
NRG001R-245,NRG001,NW Northgate Mall LLC,R-245,Hibbetts Sports,0,RETL,1,GLA,RET
NRG001R-245A,NRG001,NW Northgate Mall LLC,R-245A,Hibbetts Sports,0,RETL,1,GLA,RET
FFV001R-T100,FFV001,Freshfields Village,R-T100,Noddy,0,,1,GLA,RET
DMN001X5.114,DMN001,Domain Northside Retail,X5.114,Viva Med Spa,1300,RETL,1,GLA,RET
NRG001R-648,NRG001,NW Northgate Mall LLC,R-648,Downtown Locker Room,0,RETL,1,GLA,RET
CRS001F5-G,CRS001,Blakeney Crossing,F5-G,Pearle Vision,2084,,1,GLA,RET
DMN001Y2.126,DMN001,Domain Northside Retail,Y2.126,Mejuri,1313,RETL,1,GLA,RET
FFV001R-H100,FFV001,Freshfields Village,R-H100,Jayne,0,,1,GLA,RET
NW1507BLDG-A,NW1507,NW Northgate II LLC,BLDG-A,Shoe Dept Encore,0,RETL,1,GLA,RET
NW0106775,NW0106,NW WOODWARD BUILDING LP,775,"Independent Advisor Alliance, LLC",9886,,1,RSF,OFF
DMN001Z3.110,DMN001,Domain Northside Retail,Z3.110,"Quay Australia, Quay",839,RETL,1,GLA,RET
NW1510500,NW1510,Van Alen Office LLC,500,PolicyGenius Inc.,24190,,1,RSF,OFF
NW1510600,NW1510,Van Alen Office LLC,600,PolicyGenius Inc.,24190,,1,RSF,OFF
CV00010800,CV0001,100 Broadway,800,"Tommy John, Inc.",17592,OFF,1,RSF,OFF
DMN001Z2.156,DMN001,Domain Northside Retail,Z2.156,Scotch & Soda,1918,RETL,1,GLA,RET
NW0021E250,NW0021,NW OFFICES ON SIX LP,E250,"RDR Insurance Services, Inc.",1376,,1,RSF,OFF
NW1001225,NW1001,NW BRIXHAM GREEN ONE LP,225,"The Sperry Law Firm, PC",2914,,1,RSF,OFF
P200010L-B,P200,NWALP PHOP Property Owner LLC,010L-B,"3 Dekor, LLC",0,,1,GLA,OFF
DMN001C9.106,DMN001,Domain Northside Retail,C9.106,Tecovas,3330,RETL,1,GLA,RET
FFV001O-D202,FFV001,Freshfields Village,O-D202,Indigo Health,0,RETL,1,GLA,OFF
NW1011525,NW1011,NW BALLANTYNE ONE LP,525,FOREST2MARKET INC,0,,1,RSF,OFF
DMN001W4.200,DMN001,Domain Northside Retail,W4.200,Stronghold Resource Partners,5713,RETL,1,GLA,RET
NW1017525,NW1017,NW CULLMAN PARK LP,525,Timberland Investment Resource,4198,,1,RSF,OFF
CV00010300,CV0001,100 Broadway,300,"MM LaFleur, Inc.",18986,OFF,1,RSF,OFF
NW1042500,NW1042,NW HIXON BUILDING LP,500,NW Ballantyne Business Center LLC,26007,,1,RSF,OFF
FFV001R-O102,FFV001,Freshfields Village,R-O102,Doin' the Charleston,0,,1,GLA,RET
BLK001C3-I,BLK001,Blakeney Retail,C3-I,Ever Row,1240,,1,GLA,RET
DMN001C9.114,DMN001,Domain Northside Retail,C9.114,Mizzen + Main,2000,RETL,1,GLA,RET
FFV001O-U212A,FFV001,Freshfields Village,O-U212A,Patricia Reno Huff Gallery & Art Studio,0,,1,GLA,OFF
DMN001Y2.132,DMN001,Domain Northside Retail,Y2.132,Peloton,2972,RETL,1,GLA,RET
DMN001W3.126,DMN001,Domain Northside Retail,W3.126,OPTIQUE,1163,RETL,1,GLA,RET
HSV001500,HSV001,Hillside Village,500,Haystack Burgers & Barley,2112,RETL,1,GLA,RET
DMN001X6.120,DMN001,Domain Northside Retail,X6.120,CHANEL,1100,RETL,1,GLA,RET
DMN001X6.110,DMN001,Domain Northside Retail,X6.110,Chaser,1800,RETL,1,GLA,RET
FFV001R-U113,FFV001,Freshfields Village,R-U113,"Peyton William FreshFields, LLC",0,,1,GLA,RET
NRG001R-552,NRG001,NW Northgate Mall LLC,R-552,Pizza,0,RETL,1,GLA,RET
NW0071525,NW0071,NW IRBY BUILDING LP,525,DXC Technology Services LLC,2892,,1,RSF,OFF
HSV001450,HSV001,Hillside Village,450,"Ebby Halliday Properties, Inc.",6510,RETL,1,GLA,RET
DMN001W6.120,DMN001,Domain Northside Retail,W6.120,RockRose Restaurant LLC,2552,RETL,1,GLA,RET
P300LL-1,P300,NWALP PHOP Property Owner LLC,LL-1,"Cogent Communications, Inc.",0,,1,GLA,OFF
NW0071275,NW0071,NW IRBY BUILDING LP,275,Service Logic Strategic Services LLC,5452,,1,RSF,OFF
NW0071550,NW0071,NW IRBY BUILDING LP,550,DXC Technology Services LLC,4584,,1,RSF,OFF
P1001030,P100,NWALP PHOP Property Owner LLC,1030,"Cogent Communications, Inc.",0,,1,GLA,OFF
NRG001DECK 3A,NRG001,NW Northgate Mall LLC,DECK 3A,Teal Logistics,0,PRKG,1,GLA,PRK
HSVLLP130,HSVLLP,Hillside Leasehold,130,Texas Family Fitness,0,RETL,1,GLA,RET
NRG001K-23,NRG001,NW Northgate Mall LLC,K-23,Shanna A. Jefferson,0,RETL,1,GLA,RET
WAVE01D208,WAVE01,Waverly Place,D208,LA BIKINI,1500,RETL,1,GLA,RET
WAVE01D212,WAVE01,Waverly Place,D212,StretchLab,1360,RETL,1,GLA,RET
NW1002160,NW1002,NW BRIXHAM GREEN TWO LP,160,"Arch Insurance Group, Inc.",3095,,1,RSF,OFF
DMN001D1.108,DMN001,Domain Northside Retail,D1.108,"Spirit of Texas Bank, SSB",6000,RETL,1,GLA,RET
BLK001E7-D,BLK001,Blakeney Retail,E7-D,Clearsmile Orthodontics,1716,,1,GLA,RET
NW0073250,NW0073,NW JJH BUILDING LP,250,"Flagstar Bank, FSB",3219,,1,RSF,OFF
NW1001575,NW1001,NW BRIXHAM GREEN ONE LP,575,"HYOSUNG USA, INC.",4795,,1,RSF,OFF
PKLN01280,PKLN01,Park Lane - 8070 Office,280,"Owens + Hopper Brand Design, LLC",0,,1,GLA,OFF
NRG001K-53,NRG001,NW Northgate Mall LLC,K-53,Valentine Arrangements,0,RETL,1,GLA,RET
NW0021C125,NW0021,NW OFFICES ON SIX LP,C125,"Turing Tunnel, LTD",844,,1,RSF,OFF
PKLN05C110,PKLN05,Park Lane - Blk B2/C/DF Retail,C110,Forever 21,0,,1,GLA,RET
PKLN05C315,PKLN05,Park Lane - Blk B2/C/DF Retail,C315,Forever 21,0,,1,GLA,RET
NRG001R-410,NRG001,NW Northgate Mall LLC,R-410,Aeropostale Factory Store,0,RETL,1,GLA,RET
P460260,P460,460 Totten Pond,260,"Child Trends, Incorporated",0,,1,GLA,OFF
P400115,P400,400 Totten PondRoad,115,Zoe Holding Company,0,,1,GLA,OFF
NW1001500,NW1001,NW BRIXHAM GREEN ONE LP,500,"HYOSUNG USA, INC.",6335,,1,RSF,OFF
NRG001R-416,NRG001,NW Northgate Mall LLC,R-416,GoodStuff (Storage),0,RETL,1,GLA,RET
CV000200B02,CV0002,1180 Avenue of the Americas,00B02,"Scripps Networks, LLC",202,BSMT,1,RSF,OFF
HSVLLP110,HSVLLP,Hillside Leasehold,110,DOLLAR TREE,0,RETL,1,GLA,RET
NW0071300,NW0071,NW IRBY BUILDING LP,300,"Form Technologies, Inc.",21582,,1,RSF,OFF
WAVE01D102,WAVE01,Waverly Place,D102,Everything Hemp Store,1051,INLN,1,GLA,RET
NRG001R-856,NRG001,NW Northgate Mall LLC,R-856,Tax Payer Assistance,0,RETL,1,GLA,RET
HSV001308,HSV001,Hillside Village,308,Original ChopShop,3215,RETL,1,GLA,RET
P400400,P400,400 Totten PondRoad,400,Mass Electric Construction Co.,0,,1,GLA,OFF
NW1017175,NW1017,NW CULLMAN PARK LP,175,SOUTHEASTERN TECHNOLOGY GROUP,4057,,1,RSF,OFF
PKLN05KIOSK,PKLN05,Park Lane - Blk B2/C/DF Retail,KIOSK,Outfront Media,0,,1,GLA,OTHER
NRG001R-690,NRG001,NW Northgate Mall LLC,R-690,Stadium 10,0,RETL,1,GLA,RET
WAVE01A202,WAVE01,Waverly Place,A202,Keller Williams,7788,RETL,1,GLA,RET
NW0075500,NW0075,NW EVERETT BUILDING LP,500,"Credit Karma, Inc.",11544,,1,RSF,OFF
BLK001B3-B,BLK001,Blakeney Retail,B3-B,Postnet,1200,,1,GLA,RET
NW0075625,NW0075,NW EVERETT BUILDING LP,625,William Little Family LP,1070,,1,RSF,OFF
NW1507P-LOT 2,NW1507,NW Northgate II LLC,P-LOT 2,Valdivia Logistics,0,PRKG,1,GLA,PRK
PKLN02ROOF8,PKLN02,Park Lane - 8080 Office,ROOF8,T-Mobile,0,,1,GLA,ANT
P400301,P400,400 Totten PondRoad,301,"GTT Communications, Inc.",0,,1,GLA,OFF
NW0073225,NW0073,NW JJH BUILDING LP,225,Paymentus Corporation,10532,,1,RSF,OFF
NW0073675,NW0073,NW JJH BUILDING LP,675,"Infinisource Holdings, Inc.",8053,,1,RSF,OFF
NW01061000,NW0106,NW WOODWARD BUILDING LP,1000,"Lumos Networks of West Virginia, Inc. dba Segra",30735,,1,RSF,OFF
NRG001R-564,NRG001,NW Northgate Mall LLC,R-564,Let's Eat Soul Food,0,INLN,1,GLA,RET
PKLN05B118,PKLN05,Park Lane - Blk B2/C/DF Retail,B118,Starwood Cafe,0,,1,GLA,RET
NW0073400,NW0073,NW JJH BUILDING LP,400,Paymentus Corporation,13156,,1,RSF,OFF
NW0073410,NW0073,NW JJH BUILDING LP,410,Paymentus Corporation,1795,,1,RSF,OFF
NW0073450,NW0073,NW JJH BUILDING LP,450,Paymentus Corporation,8159,,1,RSF,OFF
NW0073625,NW0073,NW JJH BUILDING LP,625,"Residential Mortgage Services, Inc.",3673,,1,RSF,OFF
PKLN07105-8018,PKLN07,Park Lane - Blk A Retail,105-8018,"Chipotle Mexican Grill, Inc.",0,,1,GLA,RET
DMN001X5.110,DMN001,Domain Northside Retail,X5.110,Jeni's Splendid Ice Creams,1382,RETL,1,GLA,RET
P2004030,P200,NWALP PHOP Property Owner LLC,4030,"InfoBionic, Inc.",0,,1,GLA,OFF
NRG001K-P LOT,NRG001,NW Northgate Mall LLC,K-P LOT,Trosa,0,RETL,1,GLA,RET
DMN001Z2.170,DMN001,Domain Northside Retail,Z2.170,Swarovski Retail Ventures Ltd.,900,RETL,1,GLA,RET
DMN001Z3.150,DMN001,Domain Northside Retail,Z3.150,Desk Plants,2081,RETL,1,GLA,RET
NW1042125,NW1042,NW HIXON BUILDING LP,125,PartnerRe Life Reinsurance Company of America,5201,,1,RSF,OFF
NW0054400,NW0054,NW CRAWFORD BUILDING LP,400,The Lincoln National Life Insurance Company,28540,,1,RSF,OFF
NRG001O-301,NRG001,NW Northgate Mall LLC,O-301,CHRISTIAN T.V. MINISTRIES,0,RETL,1,GLA,OFF
NW1001530,NW1001,NW BRIXHAM GREEN ONE LP,530,"Wetherill Engineering, Inc.",1764,,1,RSF,OFF
NW0021C250,NW0021,NW OFFICES ON SIX LP,C250,"LCL Insurance Services, LLC",1608,,1,RSF,OFF
P3005020,P300,NWALP PHOP Property Owner LLC,5020,"Elite Solutions, LLC",0,,1,GLA,OFF
NW0021C200,NW0021,NW OFFICES ON SIX LP,C200,"Securities Capital Partners, LLC",1481,,1,RSF,OFF
NW1002200,NW1002,NW BRIXHAM GREEN TWO LP,200,The Lincoln National Life Insurance Company,23061,,1,RSF,OFF
P2002010,P200,NWALP PHOP Property Owner LLC,2010,"Ariel Group, LLC",0,,1,GLA,OFF
NRG001R-524,NRG001,NW Northgate Mall LLC,R-524,DRESS FOR SUCCESS TRIANGLE,0,RETL,1,GLA,RET
PWP001112A,PWP001,Prestonwood Place,112A,Shake Shack #1245-TX,0,RETL,1,GLA,RET
DMN001W2.142,DMN001,Domain Northside Retail,W2.142,"Yeti Coolers, LLC",0,RETL,1,GLA,RET
DMN001W2.140,DMN001,Domain Northside Retail,W2.140,"Yeti Coolers, LLC",2666,RETL,1,GLA,RET
NW1012525,NW1012,NW BALLANTYNE TWO LP,525,"Cotney Construction Law, LLP",2058,,1,RSF,OFF
DMN001D1.146,DMN001,Domain Northside Retail,D1.146,It's A Secret,1731,RETL,1,GLA,RET
NW1001320,NW1001,NW BRIXHAM GREEN ONE LP,320,"New Engen, Inc.",3576,,1,RSF,OFF
P2001010,P200,NWALP PHOP Property Owner LLC,1010,"CFPH Prospect Hill, LLC",0,,1,GLA,OFF
NRG001DECK 4,NRG001,NW Northgate Mall LLC,DECK 4,"VetPride Services, Inc.",0,PRKG,1,GLA,PRK
P1005010,P100,NWALP PHOP Property Owner LLC,5010,Apellis Pharmaceuticals,0,,1,GLA,OFF
P1006020A,P100,NWALP PHOP Property Owner LLC,6020A,NRT New England LLC,0,,1,GLA,OFF
PKLN01150,PKLN01,Park Lane - 8070 Office,150,Curtainwall Design Consulting,0,OTHR,1,GLA,OFF
NRG001R-212,NRG001,NW Northgate Mall LLC,R-212,BATH & BODY WORKS,0,RETL,1,GLA,RET
CV000100B02,CV0001,100 Broadway,00B02,Cogent Communications Inc.,0,OTHR,1,RSF,OTHER
P100LL-30L,P100,NWALP PHOP Property Owner LLC,LL-30L,NRT New England LLC,0,,1,GLA,OFF
P1007010,P100,NWALP PHOP Property Owner LLC,7010,"Apellis Pharmaceuticals, Inc.",0,,1,GLA,OFF
WAVE01D210,WAVE01,Waverly Place,D210,Lululemon,0,RETL,1,GLA,RET
NRG001DECK 3,NRG001,NW Northgate Mall LLC,DECK 3,Arkham Logistics,0,PRKG,1,GLA,PRK
NW1003400,NW1003,NW BRIXHAM GREEN THREE LP,400,"Brady & Kosofsky, PA",11253,,1,RSF,OFF
FFV001R-L100,FFV001,Freshfields Village,R-L100,"ATF HOLDINGS, LLC",0,,1,GLA,RET
WAVE01D203,WAVE01,Waverly Place,D203,VOM FASS,1161,RETL,1,GLA,RET
BLK001C3-A,BLK001,Blakeney Retail,C3-A,"PIO, PIO",1264,,1,GLA,RET
NRG001R-420,NRG001,NW Northgate Mall LLC,R-420,GOODSTUFF OUTLET,0,RETL,1,GLA,RET
NW1018110,NW1018,NW RICHARDSON BUILDING LP,110,Amwest Funding Corp.,1347,,1,RSF,OFF
NW1025100,NW1025,NW HALL BUILDING LP,100,"Miracle Software Systems, Inc.",1804,,1,RSF,OFF
NW1521310,NW1521,NW Franklin Park LLC,310,Legacy Investment Planning LLC,4038,,1,RSF,OFF
NW1507BLDG,NW1507,NW Northgate II LLC,BLDG,NCEM Shelter,0,RETL,1,GLA,RET
NRG001R-852,NRG001,NW Northgate Mall LLC,R-852,Lis Tyroler Photography,0,RETL,1,GLA,RET
P460380,P460,460 Totten Pond,380,"Glytec, LLC",0,,1,GLA,OFF
P460117,P460,460 Totten Pond,117,"Deciphera Pharmaceuticals, Inc.",0,,1,GLA,OFF
P2001050,P200,NWALP PHOP Property Owner LLC,1050,"3 Dekor, LLC",0,,1,GLA,OFF
PKLN02620,PKLN02,Park Lane - 8080 Office,620,"Owens + Hopper Brand Design, LLC",0,OTHR,1,GLA,OFF
DMN014OFFICE,DMN014,Domain Retail D Blk D PGCA Inc,OFFICE,"TR Domain, LLC",0,,1,GLA,
P460560,P460,460 Totten Pond,560,"Deciphera Pharmaceuticals, Inc.",0,,1,GLA,OFF
P460700,P460,460 Totten Pond,700,"Deciphera Pharmaceuticals, Inc.",0,,1,GLA,OFF
NW15039901,NW1503,NW 230 Congress Street Propert,9901,"Acorio, LLC",13148,,1,RSF,OFF
P460500,P460,460 Totten Pond,500,"Deciphera Pharmaceuticals, Inc.",0,,1,GLA,OFF
P460510,P460,460 Totten Pond,510,"Deciphera Pharmaceuticals, Inc.",0,,1,GLA,OFF
DMN001Z3.106,DMN001,Domain Northside Retail,Z3.106,Daniel Wellington,500,RETL,1,GLA,RET
NRG001R-528,NRG001,NW Northgate Mall LLC,R-528,Sho Nuff Seafood,0,RETL,1,GLA,RET
NW1041100,NW1041,NW SIMMONS BUILDING LP,100,Continuum Transportation Services LLC,3858,,1,RSF,OFF
FFV001O-P202,FFV001,Freshfields Village,O-P202,Kdp - Human Resources,0,,1,GLA,OFF
WAVE01E201,WAVE01,Waverly Place,E201,Shake Shack,3896,RETL,1,GLA,RET
NWSPRISears,NWSPRI,NW SPRINGS LLC,Sears,"Altered Reality Entertainment, LLC",0,RETL,1,GLA,RET
DMN001W3.122,DMN001,Domain Northside Retail,W3.122,Lively,1204,RETL,1,GLA,RET
NW0106700,NW0106,NW WOODWARD BUILDING LP,700,Principal Life Insurance Company,9795,,1,RSF,OFF
NW0021D150,NW0021,NW OFFICES ON SIX LP,D150,"S&S Acquisitions, LLC",700,,1,RSF,OFF
NW1001150,NW1001,NW BRIXHAM GREEN ONE LP,150,The Babcock & Wilcox Company,3847,,1,RSF,OFF
PKLN05C345,PKLN05,Park Lane - Blk B2/C/DF Retail,C345,"CARTER'S RETAIL, INC.",0,,1,GLA,RET
NW1521300,NW1521,NW Franklin Park LLC,300,"Cool Springs Financial Group, LLC",7820,,1,RSF,OFF
NW0106725,NW0106,NW WOODWARD BUILDING LP,725,Principal Life Insurance Company,0,,1,RSF,OFF
PKLN02750,PKLN02,Park Lane - 8080 Office,750,FieldPulse,0,,1,GLA,OFF
NRG001R-826,NRG001,NW Northgate Mall LLC,R-826,Lynn's Hair Loft,0,RETL,1,GLA,RET
P200LL-R,P200,NWALP PHOP Property Owner LLC,LL-R,"RCN-BecoCom, LLC",0,,1,GLA,ANT
NW1017300,NW1017,NW CULLMAN PARK LP,300,"Coats American, Inc.",10977,,1,RSF,OFF
NW15036601,NW1503,NW 230 Congress Street Propert,6601,"Northwood Office, LLC",1904,,1,RSF,OFF
PWP001123,PWP001,Prestonwood Place,123,Club Pilates,0,RETL,1,GLA,RET
NW1017520,NW1017,NW CULLMAN PARK LP,520,"Allen Tate Real Estate, LLC",6017,,1,RSF,OFF
P1004020,P100,NWALP PHOP Property Owner LLC,4020,"Yottaa, Inc.",0,,1,GLA,OFF
NW0054350,NW0054,NW CRAWFORD BUILDING LP,350,The Lincoln National Life Insurance Company,12064,,1,RSF,OFF
NW0073650,NW0073,NW JJH BUILDING LP,650,"UBS FINANCIAL SERVICES, INC.",6962,,1,RSF,OFF
NW0075475,NW0075,NW EVERETT BUILDING LP,475,"BNI Global, LLC",7652,,1,RSF,OFF
NW1040450,NW1040,NW CHANDLER BUILDING LP,450,Frankenmuth Mutual Insurance Company,4085,,1,RSF,OFF
NRG001R-536,NRG001,NW Northgate Mall LLC,R-536,Mi Pequeno Honduras,0,RETL,1,GLA,RET
NW1507P-LOT,NW1507,NW Northgate II LLC,P-LOT,"Amazon.com Services, Inc.",0,RETL,1,GLA,RET
HSVLLP150,HSVLLP,Hillside Leasehold,150,ASI Gymnastics,0,RETL,1,GLA,RET
NW0076475,NW0076,NW CALHOUN BUILDING LP,475,"Credit Karma, Inc.",9851,,1,RSF,OFF
P1006010,P100,NWALP PHOP Property Owner LLC,6010,"Apellis Pharmaceuticals, Inc.",0,,1,GLA,OFF
BLK001C3-J,BLK001,Blakeney Retail,C3-J,Burtons Grill and Bar,3600,,1,GLA,RET
NRG001O-227A,NRG001,NW Northgate Mall LLC,O-227A,Brenda's Alterations,0,RETL,1,GLA,OFF
DMN001C9.110,DMN001,Domain Northside Retail,C9.110,7 For All Mankind,2140,RETL,1,GLA,RET
PKLN02770A,PKLN02,Park Lane - 8080 Office,770A,Condon Tobin Sladek Thorton PLLC,0,,1,GLA,OFF
PKLN01200,PKLN01,Park Lane - 8070 Office,200,Liberty Mutual Insurance Company,0,,1,GLA,OFF
WAVE01B104A,WAVE01,Waverly Place,B104A,"European Cleaners, LLC",991,RETL,1,GLA,RET
HSV001410,HSV001,Hillside Village,410,The Little Gym/Dallas Swim Kids,7837,RETL,1,GLA,RET
DMN001C1.100,DMN001,Domain Northside Retail,C1.100,"Perry's Restaurants, LTD.",10832,RETL,1,GLA,RET
CV00010400,CV0001,100 Broadway,400,"Vital Strategies, Inc.",18986,OFF,1,RSF,OFF
NW0045150,NW0045,NW GIBSON BUILDING LP,150,Wingate University,7192,,1,RSF,OFF
NRG001R-622,NRG001,NW Northgate Mall LLC,R-622,Families Moving Forward,0,RETL,1,GLA,RET
NW1011400,NW1011,NW BALLANTYNE ONE LP,400,PREFERRED MEDICAL MARKETING CO,2654,,1,RSF,OFF
PKLN05B120,PKLN05,Park Lane - Blk B2/C/DF Retail,B120,Spectrum Charter,0,,1,GLA,RET
WAVE01D101,WAVE01,Waverly Place,D101,Level Red Boxing,3602,RETL,1,GLA,RET
NRG0031130,NRG003,Northgate Planters Oil,1130,"SB Ellis, Inc",0,RETL,1,GLA,RET
NRG00217,NRG002,Northgate Shops,17,Wyatt & Dad,0,RETL,1,GLA,RET
FFV001R-T104,FFV001,Freshfields Village,R-T104,Luluemon USA Inc,0,,1,GLA,RET
P2002020A,P200,NWALP PHOP Property Owner LLC,2020A,"NanoSemi, Inc.",0,,1,GLA,OFF
P460190,P460,460 Totten Pond,190,"Aveda Services, Inc.",0,,1,GLA,OFF
NRG001R-464,NRG001,NW Northgate Mall LLC,R-464,KNZ Accessories,0,RETL,1,GLA,RET
NW0075425,NW0075,NW EVERETT BUILDING LP,425,"Steven L. Smith, PLLC",7144,,1,RSF,OFF
